"nHBAcc","nHBDon","naAromAtom","nAtomP","nB","nAromBond","nRotB","ALogP","ALogp2","AMR","XLogP","MLogP","apol","TopoPSA","MW","bpol","ATSc1","ATSc2","ATSc3","ATSc4","ATSc5","ATSm1","ATSm2","ATSm3","ATSm4","ATSm5","nAcid","nBase","MOMI-X","MOMI-Y","MOMI-Z","MOMI-XY","MOMI-XZ","MOMI-YZ","MOMI-R","AllSurfaceArea"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
"0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.0"
